rank,assignment,modularity_Q,Q_over_Qbest,probability
1,1 1 1 1 1 0 0 0 0 0,0.45238095238095244,1.0,0.821533203125
2,1 1 1 1 1 0 1 0 0 0,0.2437641723356007,0.5388471177944857,0.04736328125
3,1 1 1 1 1 0 0 0 0 1,0.2437641723356007,0.5388471177944857,0.01904296875
4,1 1 1 0 1 0 0 0 0 0,0.24376417233560077,0.5388471177944858,0.01904296875
5,1 1 1 1 1 1 0 0 0 0,0.2437641723356007,0.5388471177944857,0.01806640625
6,1 0 1 1 1 0 0 0 0 0,0.2437641723356008,0.5388471177944859,0.015625
7,1 1 1 1 1 0 0 1 0 0,0.2437641723356007,0.5388471177944857,0.01513671875
8,1 1 0 0 1 0 0 0 0 0,0.12244897959183672,0.27067669172932324,0.0146484375
9,1 1 1 1 1 0 0 0 1 0,0.2811791383219952,0.6215538847117787,0.011962890625
10,1 1 1 1 1 0 1 1 0 0,0.0941043083900225,0.20802005012531286,0.00244140625
11,1 1 1 0 1 0 0 0 0 1,0.07142857142857141,0.1578947368421052,0.001220703125
12,1 1 0 0 1 0 1 0 0 0,-0.004535147392290241,-0.010025062656641584,0.001220703125
13,1 1 1 1 1 0 1 0 0 1,0.09410430839002246,0.20802005012531277,0.001220703125
14,1 0 1 0 1 0 0 0 0 0,0.09410430839002266,0.20802005012531324,0.001220703125
15,1 1 1 1 1 1 0 0 0 1,0.0941043083900225,0.20802005012531286,0.0009765625
16,1 1 0 1 1 0 0 0 0 0,0.28117913832199537,0.6215538847117792,0.0009765625
17,1 1 1 1 1 1 1 0 0 0,0.09410430839002253,0.20802005012531294,0.0009765625
18,1 1 1 0 1 1 0 0 0 0,0.07142857142857142,0.15789473684210523,0.000732421875
19,1 1 0 0 1 0 0 0 0 1,-0.004535147392290233,-0.010025062656641567,0.000732421875
20,1 1 1 0 1 0 1 0 0 0,0.07142857142857141,0.1578947368421052,0.000732421875
21,1 1 1 1 1 0 1 0 1 0,0.12244897959183647,0.2706766917293227,0.000732421875
22,1 1 0 0 1 1 0 0 0 0,-0.004535147392290241,-0.010025062656641584,0.00048828125
23,1 0 1 1 1 0 0 1 0 0,0.07142857142857142,0.15789473684210523,0.00048828125
24,1 0 1 1 1 0 1 0 0 0,0.07142857142857142,0.15789473684210523,0.00048828125
25,1 0 0 0 1 0 0 0 0 0,0.02267573696145125,0.05012531328320802,0.000244140625
26,1 1 1 1 1 1 0 1 0 0,0.09410430839002254,0.20802005012531297,0.000244140625
27,1 0 1 1 1 0 0 0 0 1,0.07142857142857147,0.15789473684210534,0.000244140625
28,1 1 0 1 1 0 1 0 0 0,0.11791383219954649,0.2606516290726817,0.000244140625
29,1 1 1 1 1 0 0 0 1 1,0.12244897959183647,0.2706766917293227,0.000244140625
30,0 1 1 1 1 0 0 0 0 0,0.2437641723356008,0.5388471177944859,0.000244140625
31,1 1 0 0 1 0 0 1 0 0,-0.004535147392290241,-0.010025062656641584,0.000244140625
32,1 1 1 0 1 0 0 1 0 0,0.07142857142857141,0.1578947368421052,0.000244140625
33,1 1 1 0 1 0 0 0 1 0,0.1179138321995464,0.26065162907268147,0.000244140625
34,1 1 1 0 1 0 0 1 0 1,-0.0419501133786848,-0.09273182957393482,0.000244140625
35,1 1 0 0 1 0 0 0 1 0,-0.041950113378684796,-0.0927318295739348,0.000244140625
36,1 1 1 0 1 0 1 0 0 1,-0.0419501133786848,-0.09273182957393482,0.000244140625
